source,domain,sub_domain,table_name,table_label,name,label,unit,type_var,type_data,type_level,substudy
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit_dtt,Visit information: Date and time at the start of the visit,NA,administrative,timestamp,interval,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit_age,Visit information: Youth's age at the start of the event,years (yr),administrative,double,ratio,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit_type,"Visit information: Type of visit (In-person, remote, hybrid)",NA,administrative,character,nominal,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit_days,Visit information: Number of visit days,NA,administrative,integer,ratio,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day1_dt,Visit information (day 1): Visit date,NA,administrative,date,interval,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day2_dt,Visit information (day 2): Visit date,NA,administrative,date,interval,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day3_dt,Visit information (day 3): Visit date,NA,administrative,date,interval,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day4_dt,Visit information (day 4): Visit date,NA,administrative,date,interval,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day1_inform,Visit information (day 1): Informant's relationship to participant,NA,administrative,character,nominal,FALSE
General,ABCD (General),Standard Variables,ab_g_dyn,ABCD Dynamic Variables [General],ab_g_dyn__visit__day2_inform,Visit information (day 2): Informant's relationship to participant,NA,administrative,character,nominal,FALSE
